,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket
828,A11,36,A32,A41,8335,A65,A75,3,A93,A101,4,A124,47,A143,A153,1,A173,1,A191,A201,231.52777777777777,9.028338763993148,3.0,1,1,25005,mid_career,long_term,high_amount
997,A14,12,A32,A43,804,A61,A75,4,A93,A101,4,A123,38,A143,A152,1,A173,1,A191,A201,67.0,6.690842277418564,1.0,0,0,3216,mid_career,short_term,low_amount
148,A11,36,A34,A42,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,149.19444444444446,8.588955557643128,3.0,1,1,16113,early_career,long_term,high_amount
735,A12,36,A31,A44,3990,A65,A72,3,A92,A101,2,A124,29,A141,A152,1,A171,1,A191,A201,110.83333333333333,8.291797105048733,3.0,1,1,11970,early_career,long_term,high_amount
130,A12,48,A32,A40,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,176.8125,9.046408680293819,4.0,1,1,8487,young,very_long_term,high_amount
654,A14,24,A34,A41,2346,A61,A74,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A192,A201,97.75,7.760893195851024,2.0,0,0,9384,early_career,medium_term,medium_high_amount
784,A12,20,A32,A41,6468,A65,A71,1,A91,A101,4,A121,60,A143,A152,1,A174,1,A192,A201,323.4,8.774776816043985,1.6666666666666667,0,1,6468,senior,medium_term,high_amount
318,A14,12,A34,A46,701,A61,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,58.416666666666664,6.553933404025811,1.0,0,0,2804,early_career,short_term,low_amount
272,A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,253.52083333333334,9.406729185981574,4.0,1,1,48676,mid_career,very_long_term,high_amount
783,A12,12,A32,A40,836,A62,A72,4,A92,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,69.66666666666667,6.729824070489475,1.0,0,0,3344,young,short_term,low_amount
567,A14,24,A34,A43,2578,A64,A75,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,107.41666666666667,7.8551570058813445,2.0,0,0,5156,early_career,medium_term,medium_high_amount
320,A12,30,A34,A40,4249,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,141.63333333333333,8.354674261918463,2.5,0,1,16996,early_career,long_term,high_amount
211,A14,36,A32,A43,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,106.52777777777777,8.252185436003328,3.0,1,0,7670,mid_career,long_term,medium_high_amount
782,A12,12,A30,A48,1410,A61,A73,2,A93,A101,2,A121,31,A143,A152,1,A172,1,A192,A201,117.5,7.252053951852814,1.0,0,0,2820,early_career,short_term,medium_low_amount
