,actual_default,predicted_pd,risk_cluster,credit_amount,duration_months,age_years,ead_proxy,expected_loss_proxy,if_score_scaled,lof_score_scaled,ensemble_anomaly_score,if_anomaly_flag,lof_anomaly_flag,ensemble_anomaly_flag
828,1,0.5486907069118766,1,8335,36,47,8335,2058.001668949721,0.41631057525220183,0.012752833541613717,0.21453170439690777,0,0,0
997,0,0.1170323299833553,0,804,12,38,804,42.342296987977946,0.000218181400763795,0.0016996376033073246,0.0009589095020355598,0,0,0
148,0,0.6782937306638198,1,5371,36,28,5371,1639.4020323279194,0.3776974524387208,0.004821254865443103,0.19125935365208196,0,0,0
735,0,0.9167151954017024,1,3990,36,29,3990,1645.9621333437567,0.7039943602060363,0.01744641957986992,0.36072038989295313,1,0,1
130,0,0.5705957689481893,1,8487,48,24,8487,2179.1908309784776,0.4376289305507455,0.014461031112547096,0.22604498083164629,0,0,0
654,0,0.0255585129178911,0,2346,24,35,2346,26.982122087417636,0.0847631808267888,0.0052359815379794394,0.04499958118238412,0,0,0
784,0,0.2691703809167414,1,6468,20,60,6468,783.4473106962674,0.5867040078910987,0.03464096195315436,0.3106724849221265,0,0,0
318,0,0.2586647932165141,0,701,12,32,701,81.59580902014937,0.14318461567176782,0.0004758289787557546,0.07183022232526179,0,0,0
272,0,0.9096050836507628,1,12169,48,36,12169,4981.042918325759,0.9493085925979745,0.048326881563652335,0.49881773708081345,1,0,1
783,1,0.8837195684352177,0,836,12,23,836,332.4553016453289,0.3297985187816195,0.02019308086301591,0.1749957998223177,0,0,0
567,0,0.020014862073576,0,2578,24,34,2578,23.21924149155552,0.15654972240327708,0.00782658470270009,0.08218815355298859,0,0,0
320,1,0.7879635839147752,1,4249,30,28,4249,1506.625770624246,0.38986770104696156,0.017085871445341405,0.20347678624615148,0,0,0
211,0,0.0600311555915148,1,3835,36,45,3835,103.59876676205667,0.44445239628015276,0.03842005367937579,0.24143622497976427,0,0,0
782,0,0.2426257068721259,0,1410,12,31,1410,153.9460110103639,0.29999677357839016,0.01851345379975322,0.1592551136890717,0,0,0
367,0,0.7950790567903572,0,3650,18,22,3650,1305.9173507781618,0.1812876581909803,0.010914495850465167,0.09610107702072274,0,0,0
970,0,0.4492777927082715,0,1514,15,22,1514,306.0929601721454,0.3688444705931798,0.01679656089672732,0.19282051574495357,0,0,0
896,0,0.6887558111567303,0,2606,21,28,2606,807.7039397434977,0.2188692887826849,0.011274889448434078,0.1150720891155595,0,0,0
930,0,0.7293299854819557,0,1747,24,24,1747,573.3627680866394,0.5055983669072381,0.04118015187521312,0.2733892593912256,0,0,0
251,0,0.3306001426990389,0,2251,12,46,2251,334.8814145469915,0.2558575983313218,0.023299227523159494,0.13957841292724066,0,0,0
390,0,0.2409885374358458,0,1820,18,30,1820,197.3696121599577,0.20925218423382685,0.013682696557430707,0.11146744039562878,0,0,0
741,0,0.5536750394595263,0,1048,10,23,1048,261.1131486091126,0.3240419641321784,0.020446961803813002,0.1722444629679957,0,0,0
552,1,0.4790049332704028,1,6999,48,34,6999,1508.6499875817972,0.579343831702692,0.022651833214964,0.300997832458828,0,0,0
287,0,0.5206931466926337,1,7582,48,31,7582,1776.552947200597,0.6324511623155776,0.009953396680331184,0.32120227949795443,0,0,0
652,1,0.8371587259546814,0,2303,24,45,2303,867.5894456431341,0.34278591603031483,0.03005642410850118,0.186421170069408,0,0,0
906,0,0.1436470557618218,0,3763,21,24,3763,243.24474187428098,0.5516052529286098,0.04907259756790122,0.30033892524825556,0,0,0
