,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,local_log_odds,local_pd,top_positive_contributors,top_negative_contributors,risk_cluster,expected_loss_proxy,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled,risk_narrative
30,A12,18,A32,A49,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,106.27777777777776,7.5569505720129,1.5,0,0,5739,mid_career,medium_term,medium_low_amount,0,0.367231620202881,-0.5441116797873619,0.367231620202881,foreign_worker_A201 (0.651); other_installment_plans_A141 (0.525); duration_bucket_medium_term (0.463); employment_since_A72 (0.341); checking_account_status_A12 (0.237),savings_account_A64 (-0.622); age_bucket_mid_career (-0.409); property_A121 (-0.358); telephone_A192 (-0.182); credit_amount_per_month (-0.138),0,316.13134025165016,0.2459928698307095,0,0.4670644550104602,0.0249212846509588,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 36.72%. The strongest upward model signals are: foreign_worker_A201 (0.651); other_installment_plans_A141 (0.525); duration_bucket_medium_term (0.463); employment_since_A72 (0.341); checking_account_status_A12 (0.237). The strongest downward model signals are: savings_account_A64 (-0.622); age_bucket_mid_career (-0.409); property_A121 (-0.358); telephone_A192 (-0.182); credit_amount_per_month (-0.138). The borrower belongs to risk cluster 0."
128,A12,12,A34,A41,1860,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,155.0,7.528869256642251,1.0,0,0,7440,early_career,short_term,medium_low_amount,0,0.11170025982624533,-2.0734901990970203,0.11170025982624533,foreign_worker_A201 (0.651); savings_account_A61 (0.577); employment_since_A71 (0.265); checking_account_status_A12 (0.237); installment_rate_pct_income (0.179),purpose_A41 (-0.919); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); duration_years (-0.258),0,93.49311747456734,0.1373416099978746,0,0.255087591675963,0.0195956283197862,"The borrower is assigned low estimated credit risk, with a predicted PD of 11.17%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); employment_since_A71 (0.265); checking_account_status_A12 (0.237); installment_rate_pct_income (0.179). The strongest downward model signals are: purpose_A41 (-0.919); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); duration_years (-0.258). The borrower belongs to risk cluster 0."
289,A11,24,A33,A43,1024,A61,A72,4,A94,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,42.666666666666664,6.932447891572509,2.0,0,0,4096,mid_career,medium_term,low_amount,1,0.8475534197118058,1.7155396278881847,0.8475534197118058,credit_amount_bucket_low_amount (0.769); checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463),age_bucket_mid_career (-0.409); property_A121 (-0.358); credit_amount_per_month (-0.294); purpose_A43 (-0.251); credit_amount_log (-0.224),0,390.5526158032001,0.2003906724602672,0,0.3714079060685211,0.0293734388520133,"The borrower is assigned high estimated credit risk, with a predicted PD of 84.76%. The strongest upward model signals are: credit_amount_bucket_low_amount (0.769); checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463). The strongest downward model signals are: age_bucket_mid_career (-0.409); property_A121 (-0.358); credit_amount_per_month (-0.294); purpose_A43 (-0.251); credit_amount_log (-0.224). The borrower belongs to risk cluster 0."
216,A11,18,A30,A49,3104,A61,A74,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,172.44444444444446,8.040768994367578,1.5,0,0,9312,early_career,medium_term,medium_high_amount,0,0.6923716751768682,0.8112305975940535,0.6923716751768684,checking_account_status_A11 (0.698); credit_history_A30 (0.693); foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_installment_plans_A141 (0.525),credit_amount_bucket_medium_high_amount (-0.749); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); property_A122 (-0.200); telephone_A192 (-0.182),0,967.1047558870496,0.1720479151243872,0,0.3239554844111689,0.0201403458376056,"The borrower is assigned high estimated credit risk, with a predicted PD of 69.24%. The strongest upward model signals are: checking_account_status_A11 (0.698); credit_history_A30 (0.693); foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_installment_plans_A141 (0.525). The strongest downward model signals are: credit_amount_bucket_medium_high_amount (-0.749); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); property_A122 (-0.200); telephone_A192 (-0.182). The borrower belongs to risk cluster 0."
966,A12,27,A34,A43,2520,A63,A73,4,A93,A101,2,A122,23,A143,A152,2,A172,1,A191,A201,93.33333333333331,7.83241092718792,2.25,0,0,10080,young,long_term,medium_high_amount,1,0.2094558415288508,-1.32820857967989,0.20945584152885086,foreign_worker_A201 (0.651); age_bucket_young (0.459); checking_account_status_A12 (0.237); duration_years (0.183); duration_months (0.183),credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); purpose_A43 (-0.251),0,237.5229242937168,0.2164119039294026,0,0.3912669314172529,0.0415568764415524,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 20.95%. The strongest upward model signals are: foreign_worker_A201 (0.651); age_bucket_young (0.459); checking_account_status_A12 (0.237); duration_years (0.183); duration_months (0.183). The strongest downward model signals are: credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); purpose_A43 (-0.251). The borrower belongs to risk cluster 0."
346,A12,13,A34,A43,882,A61,A72,4,A93,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,67.84615384615384,6.78332520060396,1.0833333333333333,0,0,3528,young,medium_term,low_amount,0,0.3451629465444183,-0.6403698169827166,0.34516294654441826,credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463); age_bucket_young (0.459),credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_debtors_guarantors_A103 (-0.430); other_installment_plans_A143 (-0.428); property_A121 (-0.358),0,136.99517348347962,0.1680386497616459,0,0.3123891299525544,0.0236881695707373,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 34.52%. The strongest upward model signals are: credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463); age_bucket_young (0.459). The strongest downward model signals are: credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_debtors_guarantors_A103 (-0.430); other_installment_plans_A143 (-0.428); property_A121 (-0.358). The borrower belongs to risk cluster 0."
537,A12,18,A34,A42,3612,A61,A75,3,A92,A101,4,A122,37,A143,A152,1,A173,1,A192,A201,200.66666666666663,8.19229373114764,1.5,0,0,10836,mid_career,medium_term,medium_high_amount,0,0.21042646417952326,-1.322356718351285,0.21042646417952326,foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463); checking_account_status_A12 (0.237); purpose_A42 (0.201),credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); property_A122 (-0.200),0,342.02717487739716,0.103303842212034,0,0.1938811569251129,0.0127265274989551,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 21.04%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463); checking_account_status_A12 (0.237); purpose_A42 (0.201). The strongest downward model signals are: credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); property_A122 (-0.200). The borrower belongs to risk cluster 0."
47,A11,6,A32,A41,1352,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,225.33333333333337,7.210079628170788,0.5,0,0,1352,young,short_term,low_amount,0,0.31208671818740796,-0.790381694013234,0.3120867181874078,credit_amount_bucket_low_amount (0.769); checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); housing_A151 (0.488); age_bucket_young (0.459),purpose_A41 (-0.919); duration_years (-0.435); duration_months (-0.435); other_installment_plans_A143 (-0.428); installment_rate_pct_income (-0.329),0,189.87355934521904,0.3095173771663638,0,0.5589461094553914,0.0600886448773362,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 31.21%. The strongest upward model signals are: credit_amount_bucket_low_amount (0.769); checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); housing_A151 (0.488); age_bucket_young (0.459). The strongest downward model signals are: purpose_A41 (-0.919); duration_years (-0.435); duration_months (-0.435); other_installment_plans_A143 (-0.428); installment_rate_pct_income (-0.329). The borrower belongs to risk cluster 0."
112,A12,18,A32,A40,6260,A61,A74,3,A93,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,347.77777777777777,8.74209519574531,1.5,0,1,18780,early_career,medium_term,high_amount,0,0.7541023748554261,1.1206128430958753,0.7541023748554261,foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); duration_bucket_medium_term (0.463); credit_amount_per_month (0.455),employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); property_A121 (-0.358); credit_amount (-0.247),1,2124.3063899677354,0.1679716778034427,0,0.3266141924622563,0.0093291631446292,"The borrower is assigned high estimated credit risk, with a predicted PD of 75.41%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); duration_bucket_medium_term (0.463); credit_amount_per_month (0.455). The strongest downward model signals are: employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); property_A121 (-0.358); credit_amount (-0.247). The borrower belongs to risk cluster 1."
875,A12,11,A34,A40,1322,A64,A73,4,A92,A101,4,A123,40,A143,A152,2,A173,1,A191,A201,120.1818181818182,7.187657164114956,0.9166666666666666,0,0,5288,mid_career,short_term,low_amount,0,0.21714657720241193,-1.2823728824830938,0.21714657720241187,credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); purpose_A40 (0.443); checking_account_status_A12 (0.237); installment_rate_pct_income (0.179),credit_history_A34 (-0.877); savings_account_A64 (-0.622); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); duration_years (-0.288),0,129.18049877771486,0.1250567063196135,0,0.237767390838793,0.0123460218004339,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 21.71%. The strongest upward model signals are: credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); purpose_A40 (0.443); checking_account_status_A12 (0.237); installment_rate_pct_income (0.179). The strongest downward model signals are: credit_history_A34 (-0.877); savings_account_A64 (-0.622); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); duration_years (-0.288). The borrower belongs to risk cluster 0."
