,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,risk_cluster,ead_proxy,expected_loss_proxy,agg_cluster,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled,top_positive_contributors,top_negative_contributors,risk_narrative,risk_band,exposure_bucket,flag_high_pd_high_exposure,flag_high_expected_loss,flag_anomalous_elevated_pd
828,A11,36,A32,A41,8335,A65,A75,3,A93,A101,4,A124,47,A143,A153,1,A173,1,A191,A201,231.52777777777777,9.028338763993148,3.0,1,1,25005,mid_career,long_term,high_amount,1,0.5486907069118766,1,8335,2058.001668949721,0,0.2145317043969077,0,0.4163105752522018,0.0127528335416137,,,,elevated_risk,high_exposure,0,1,0
997,A14,12,A32,A43,804,A61,A75,4,A93,A101,4,A123,38,A143,A152,1,A173,1,A191,A201,67.0,6.690842277418564,1.0,0,0,3216,mid_career,short_term,low_amount,0,0.1170323299833553,0,804,42.34229698797798,1,0.0009589095020355,0,0.0002181814007637,0.0016996376033073,,,,low_risk,low_exposure,0,0,0
148,A11,36,A34,A42,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,149.19444444444446,8.588955557643128,3.0,1,1,16113,early_career,long_term,high_amount,0,0.6782937306638198,1,5371,1639.4020323279194,0,0.1912593536520819,0,0.3776974524387208,0.0048212548654431,,,,high_risk,high_exposure,0,0,0
735,A12,36,A31,A44,3990,A65,A72,3,A92,A101,2,A124,29,A141,A152,1,A171,1,A191,A201,110.83333333333331,8.291797105048733,3.0,1,1,11970,early_career,long_term,high_amount,0,0.9167151954017024,1,3990,1645.962133343757,0,0.3607203898929531,1,0.7039943602060363,0.0174464195798699,,,,high_risk,high_exposure,1,0,1
130,A12,48,A32,A40,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,176.8125,9.04640868029382,4.0,1,1,8487,young,very_long_term,high_amount,0,0.5705957689481893,1,8487,2179.1908309784776,0,0.2260449808316462,0,0.4376289305507455,0.014461031112547,,,,elevated_risk,high_exposure,0,1,0
654,A14,24,A34,A41,2346,A61,A74,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A192,A201,97.75,7.760893195851024,2.0,0,0,9384,early_career,medium_term,medium_high_amount,0,0.0255585129178911,0,2346,26.982122087417675,1,0.0449995811823841,0,0.0847631808267888,0.0052359815379794,,,,low_risk,medium_high_exposure,0,0,0
784,A12,20,A32,A41,6468,A65,A71,1,A91,A101,4,A121,60,A143,A152,1,A174,1,A192,A201,323.4,8.774776816043985,1.6666666666666667,0,1,6468,senior,medium_term,high_amount,0,0.2691703809167414,1,6468,783.4473106962677,0,0.3106724849221265,0,0.5867040078910987,0.0346409619531543,,,,moderate_risk,high_exposure,0,0,0
318,A14,12,A34,A46,701,A61,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,58.416666666666664,6.553933404025811,1.0,0,0,2804,early_career,short_term,low_amount,0,0.2586647932165141,0,701,81.59580902014937,1,0.0718302223252617,0,0.1431846156717678,0.0004758289787557,,,,moderate_risk,low_exposure,0,0,0
272,A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,253.52083333333337,9.406729185981574,4.0,1,1,48676,mid_career,very_long_term,high_amount,0,0.9096050836507628,1,12169,4981.042918325759,0,0.4988177370808134,1,0.9493085925979744,0.0483268815636523,,,,high_risk,high_exposure,1,1,1
783,A12,12,A32,A40,836,A62,A72,4,A92,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,69.66666666666667,6.729824070489475,1.0,0,0,3344,young,short_term,low_amount,1,0.8837195684352177,0,836,332.4553016453289,1,0.1749957998223177,0,0.3297985187816195,0.0201930808630159,,,,high_risk,low_exposure,0,0,0
