,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,risk_cluster,ead_proxy,expected_loss_proxy,agg_cluster
828,A11,36,A32,A41,8335,A65,A75,3,A93,A101,4,A124,47,A143,A153,1,A173,1,A191,A201,231.52777777777777,9.028338763993148,3.0,1,1,25005,mid_career,long_term,high_amount,1,0.5486907069118766,1,8335,2058.001668949721,0
997,A14,12,A32,A43,804,A61,A75,4,A93,A101,4,A123,38,A143,A152,1,A173,1,A191,A201,67.0,6.690842277418564,1.0,0,0,3216,mid_career,short_term,low_amount,0,0.11703232998335539,0,804,42.34229698797798,1
148,A11,36,A34,A42,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,149.19444444444446,8.588955557643128,3.0,1,1,16113,early_career,long_term,high_amount,0,0.6782937306638198,1,5371,1639.4020323279194,0
735,A12,36,A31,A44,3990,A65,A72,3,A92,A101,2,A124,29,A141,A152,1,A171,1,A191,A201,110.83333333333331,8.291797105048733,3.0,1,1,11970,early_career,long_term,high_amount,0,0.9167151954017025,1,3990,1645.962133343757,0
130,A12,48,A32,A40,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,176.8125,9.04640868029382,4.0,1,1,8487,young,very_long_term,high_amount,0,0.5705957689481893,1,8487,2179.1908309784776,0
654,A14,24,A34,A41,2346,A61,A74,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A192,A201,97.75,7.760893195851024,2.0,0,0,9384,early_career,medium_term,medium_high_amount,0,0.025558512917891137,0,2346,26.982122087417675,1
784,A12,20,A32,A41,6468,A65,A71,1,A91,A101,4,A121,60,A143,A152,1,A174,1,A192,A201,323.4,8.774776816043985,1.6666666666666667,0,1,6468,senior,medium_term,high_amount,0,0.26917038091674145,1,6468,783.4473106962677,0
318,A14,12,A34,A46,701,A61,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,58.416666666666664,6.553933404025811,1.0,0,0,2804,early_career,short_term,low_amount,0,0.2586647932165141,0,701,81.59580902014937,1
272,A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,253.52083333333337,9.406729185981574,4.0,1,1,48676,mid_career,very_long_term,high_amount,0,0.9096050836507628,1,12169,4981.042918325759,0
783,A12,12,A32,A40,836,A62,A72,4,A92,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,69.66666666666667,6.729824070489475,1.0,0,0,3344,young,short_term,low_amount,1,0.8837195684352177,0,836,332.4553016453289,1
567,A14,24,A34,A43,2578,A64,A75,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,107.41666666666669,7.855157005881344,2.0,0,0,5156,early_career,medium_term,medium_high_amount,0,0.02001486207357604,0,2578,23.219241491555564,1
320,A12,30,A34,A40,4249,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,141.63333333333333,8.354674261918463,2.5,0,1,16996,early_career,long_term,high_amount,1,0.7879635839147752,1,4249,1506.625770624246,0
211,A14,36,A32,A43,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,106.52777777777776,8.252185436003328,3.0,1,0,7670,mid_career,long_term,medium_high_amount,0,0.060031155591514805,1,3835,103.59876676205668,0
782,A12,12,A30,A48,1410,A61,A73,2,A93,A101,2,A121,31,A143,A152,1,A172,1,A192,A201,117.5,7.252053951852814,1.0,0,0,2820,early_career,short_term,medium_low_amount,0,0.24262570687212592,0,1410,153.94601101036392,1
367,A11,18,A32,A42,3650,A61,A72,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,202.77777777777777,8.202756381655638,1.5,0,0,3650,young,medium_term,medium_high_amount,0,0.7950790567903572,0,3650,1305.9173507781618,1
970,A12,15,A32,A45,1514,A62,A73,4,A93,A103,2,A121,22,A143,A152,1,A173,1,A191,A201,100.93333333333334,7.323170717943469,1.25,0,0,6056,young,medium_term,medium_low_amount,0,0.4492777927082715,0,1514,306.0929601721454,1
896,A11,21,A32,A43,2606,A61,A72,4,A92,A101,4,A122,28,A143,A151,1,A174,1,A192,A201,124.0952380952381,7.865955413933502,1.75,0,0,10424,early_career,medium_term,medium_high_amount,0,0.6887558111567303,0,2606,807.7039397434977,1
930,A11,24,A32,A42,1747,A61,A72,4,A93,A102,1,A122,24,A143,A152,1,A172,1,A191,A202,72.79166666666667,7.466227556215481,2.0,0,0,6988,young,medium_term,medium_low_amount,0,0.7293299854819557,0,1747,573.3627680866394,1
251,A13,12,A32,A42,2251,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,187.58333333333337,7.719573989259581,1.0,0,0,2251,mid_career,short_term,medium_low_amount,0,0.3306001426990389,0,2251,334.8814145469915,1
390,A14,18,A32,A40,1820,A61,A73,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,101.11111111111111,7.507141079727608,1.5,0,0,3640,early_career,medium_term,medium_low_amount,0,0.2409885374358458,0,1820,197.3696121599577,1
741,A12,10,A31,A43,1048,A61,A73,4,A93,A101,4,A121,23,A142,A152,1,A172,1,A191,A201,104.8,6.955592608396297,0.8333333333333334,0,0,4192,young,short_term,low_amount,0,0.5536750394595263,0,1048,261.1131486091126,1
552,A11,48,A32,A43,6999,A61,A74,1,A94,A103,1,A121,34,A143,A152,2,A173,1,A192,A201,145.8125,8.85366542803745,4.0,1,1,6999,early_career,very_long_term,high_amount,1,0.47900493327040283,1,6999,1508.6499875817972,0
287,A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,157.95833333333334,8.933664178700935,4.0,1,1,15164,early_career,very_long_term,high_amount,0,0.5206931466926337,1,7582,1776.552947200597,0
652,A11,24,A32,A40,2303,A61,A75,4,A93,A102,1,A121,45,A143,A152,1,A173,1,A191,A201,95.95833333333331,7.742402021815782,2.0,0,0,9212,mid_career,medium_term,medium_low_amount,1,0.8371587259546814,0,2303,867.5894456431341,1
906,A11,21,A32,A40,3763,A65,A74,2,A93,A102,2,A121,24,A143,A152,1,A172,1,A191,A202,179.1904761904762,8.23323750070527,1.75,0,0,7526,young,medium_term,medium_high_amount,0,0.14364705576182188,0,3763,243.24474187428106,1
904,A14,24,A32,A43,1278,A61,A75,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,53.25,7.153833801578843,2.0,0,0,5112,mid_career,medium_term,low_amount,0,0.19865460030520574,0,1278,114.24626063552383,1
151,A14,10,A32,A43,1924,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,192.4,7.562681246721884,0.8333333333333334,0,0,1924,mid_career,short_term,medium_low_amount,0,0.007916961823841058,0,1924,6.854505547081588,1
834,A13,15,A32,A43,2327,A61,A72,2,A92,A101,3,A121,25,A143,A152,1,A172,1,A191,A201,155.13333333333333,7.752764808851328,1.25,0,0,4654,young,medium_term,medium_high_amount,1,0.37886305463117725,0,2327,396.7264476570373,1
777,A11,18,A32,A43,3509,A61,A74,4,A92,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,194.94444444444449,8.163371316459912,1.5,0,0,14036,young,medium_term,medium_high_amount,0,0.4719493095495993,0,3509,745.2315572442948,1
359,A11,30,A32,A42,2406,A61,A74,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,80.2,7.786136437783072,2.5,0,0,9624,young,long_term,medium_high_amount,1,0.7271015574467524,0,2406,787.2328562475989,1
576,A12,12,A32,A43,2930,A61,A74,2,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,244.16666666666663,7.983098940710892,1.0,0,0,5860,early_career,short_term,medium_high_amount,0,0.14181453498819166,0,2930,186.9824643819307,1
770,A11,24,A32,A41,2812,A65,A75,2,A92,A101,4,A121,26,A143,A151,1,A173,1,A191,A201,117.16666666666669,7.942006808489856,2.0,0,0,5624,early_career,medium_term,medium_high_amount,0,0.2182146361708157,0,2812,276.12880061055023,1
389,A14,9,A32,A49,1449,A61,A74,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,161.0,7.27931883541462,0.75,0,0,4347,early_career,short_term,medium_low_amount,0,0.11271116845812004,0,1449,73.49331739311718,1
942,A14,24,A32,A42,929,A65,A74,4,A93,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,38.708333333333336,6.835184586147301,2.0,0,0,3716,early_career,medium_term,low_amount,0,0.18554392367304057,0,929,77.56663729151461,1
