,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,risk_cluster,ead_proxy,expected_loss_proxy,agg_cluster,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled,top_positive_contributors,top_negative_contributors,risk_narrative,risk_band,exposure_bucket,flag_high_pd_high_exposure,flag_high_expected_loss,flag_anomalous_elevated_pd,base_pd,base_lgd,base_ead,base_expected_loss,base_expected_loss_rate,mild_stress_pd,mild_stress_lgd,mild_stress_ead,mild_stress_expected_loss,mild_stress_expected_loss_rate,adverse_stress_pd,adverse_stress_lgd,adverse_stress_ead,adverse_stress_expected_loss,adverse_stress_expected_loss_rate,severe_stress_pd,severe_stress_lgd,severe_stress_ead,severe_stress_expected_loss,severe_stress_expected_loss_rate
828,A11,36,A32,A41,8335,A65,A75,3,A93,A101,4,A124,47,A143,A153,1,A173,1,A191,A201,231.52777777777777,9.028338763993148,3.0,1,1,25005,mid_career,long_term,high_amount,1,0.5486907069118766,1,8335,2058.001668949721,0,0.2145317043969077,0,0.4163105752522018,0.0127528335416137,,,,elevated_risk,high_exposure,0,1,0,0.5486907069118766,0.45,8335.0,2058.001668949721,0.24691081811034446,0.6609943129486581,0.5,8335.0,2754.6937992135327,0.33049715647432903,0.7932979189854397,0.55,8585.050000000001,3745.7762646622728,0.43631385544199186,0.9804705957134088,0.65,8751.75,5577.541798422637,0.6373058872137157
997,A14,12,A32,A43,804,A61,A75,4,A93,A101,4,A123,38,A143,A152,1,A173,1,A191,A201,67.0,6.690842277418564,1.0,0,0,3216,mid_career,short_term,low_amount,0,0.1170323299833553,0,804,42.34229698797798,1,0.0009589095020355,0,0.0002181814007637,0.0016996376033073,,,,low_risk,low_exposure,0,0,0,0.1170323299833553,0.45,804.0,42.342296987977946,0.052664548492509886,0.13458717948085858,0.5,804.0,54.10404615130515,0.06729358974042929,0.1521420289783619,0.55,828.12,69.29552137065859,0.08367811593809905,0.18140011147420074,0.65,844.2,99.53968316923819,0.1179100724582305
148,A11,36,A34,A42,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,149.19444444444446,8.588955557643128,3.0,1,1,16113,early_career,long_term,high_amount,0,0.6782937306638198,1,5371,1639.4020323279194,0,0.1912593536520819,0,0.3776974524387208,0.0048212548654431,,,,high_risk,high_exposure,0,0,0,0.6782937306638198,0.45,5371.0,1639.4020323279194,0.30523217879871894,0.8100377902633927,0.5,5371.0,2175.356485752341,0.40501889513169637,0.9617818498629659,0.55,5532.13,2926.386223795326,0.5289800174246313,1.0,0.65,5639.55,3665.7075000000004,0.65
735,A12,36,A31,A44,3990,A65,A72,3,A92,A101,2,A124,29,A141,A152,1,A171,1,A191,A201,110.83333333333331,8.291797105048733,3.0,1,1,11970,early_career,long_term,high_amount,0,0.9167151954017024,1,3990,1645.962133343757,0,0.3607203898929531,1,0.7039943602060363,0.0174464195798699,,,,high_risk,high_exposure,1,0,1,0.9167151954017024,0.45,3990.0,1645.9621333437567,0.4125218379307661,1.0,0.5,3990.0,1995.0,0.5,1.0,0.55,4109.7,2260.335,0.55,1.0,0.65,4189.5,2723.175,0.65
130,A12,48,A32,A40,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,176.8125,9.04640868029382,4.0,1,1,8487,young,very_long_term,high_amount,0,0.5705957689481893,1,8487,2179.1908309784776,0,0.2260449808316462,0,0.4376289305507455,0.014461031112547,,,,elevated_risk,high_exposure,0,1,0,0.5705957689481893,0.45,8487.0,2179.1908309784776,0.2567680960266852,0.6861851342904177,0.5,8487.0,2911.8266173613874,0.34309256714520886,0.8217744996326461,0.55,8741.61,3950.9977010535554,0.4519759747979554,1.0,0.65,8911.35,5792.3775000000005,0.65
654,A14,24,A34,A41,2346,A61,A74,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A192,A201,97.75,7.760893195851024,2.0,0,0,9384,early_career,medium_term,medium_high_amount,0,0.0255585129178911,0,2346,26.982122087417675,1,0.0449995811823841,0,0.0847631808267888,0.0052359815379794,,,,low_risk,medium_high_exposure,0,0,0,0.0255585129178911,0.45,2346.0,26.982122087417636,0.011501330813050995,0.029392289855574762,0.5,2346.0,34.4771560005892,0.014696144927787381,0.03322606679325843,0.55,2416.38,44.1577418028416,0.018274336736292137,0.039615695022731205,0.65,2463.3,63.43047200717096,0.025750201764775285
784,A12,20,A32,A41,6468,A65,A71,1,A91,A101,4,A121,60,A143,A152,1,A174,1,A192,A201,323.4,8.774776816043985,1.6666666666666667,0,1,6468,senior,medium_term,high_amount,0,0.2691703809167414,1,6468,783.4473106962677,0,0.3106724849221265,0,0.5867040078910987,0.0346409619531543,,,,moderate_risk,high_exposure,0,0,0,0.2691703809167414,0.45,6468.0,783.4473106962674,0.12112667141253362,0.3195459380542526,0.5,6468.0,1033.4115636674528,0.1597729690271263,0.37992149519176377,0.55,6662.04,1392.0787088050358,0.20895682235547008,0.46721409042094914,0.65,6791.400000000001,2062.4745528951426,0.30368915877361696
318,A14,12,A34,A46,701,A61,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,58.416666666666664,6.553933404025811,1.0,0,0,2804,early_career,short_term,low_amount,0,0.2586647932165141,0,701,81.59580902014937,1,0.0718302223252617,0,0.1431846156717678,0.0004758289787557,,,,moderate_risk,low_exposure,0,0,0,0.2586647932165141,0.45,701.0,81.59580902014937,0.11639915694743135,0.29746451219899117,0.5,701.0,104.26131152574641,0.14873225609949559,0.3362642311814683,0.55,722.03,133.53607456197557,0.18494532714980758,0.4009304294855969,0.65,736.0500000000001,191.81814770486784,0.26060477916563796
272,A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,253.52083333333337,9.406729185981574,4.0,1,1,48676,mid_career,very_long_term,high_amount,0,0.9096050836507628,1,12169,4981.042918325759,0,0.4988177370808134,1,0.9493085925979744,0.0483268815636523,,,,high_risk,high_exposure,1,1,1,0.9096050836507628,0.45,12169.0,4981.042918325759,0.40932228764284323,1.0,0.5,12169.0,6084.5,0.5,1.0,0.55,12534.07,6893.7385,0.55,1.0,0.65,12777.45,8305.3425,0.65
783,A12,12,A32,A40,836,A62,A72,4,A92,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,69.66666666666667,6.729824070489475,1.0,0,0,3344,young,short_term,low_amount,1,0.8837195684352177,0,836,332.4553016453289,1,0.1749957998223177,0,0.3297985187816195,0.0201930808630159,,,,high_risk,low_exposure,0,0,0,0.8837195684352177,0.45,836.0,332.4553016453289,0.397673805795848,1.0,0.5,836.0,418.0,0.5,1.0,0.55,861.08,473.59400000000005,0.55,1.0,0.65,877.8000000000001,570.57,0.65
567,A14,24,A34,A43,2578,A64,A75,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,107.41666666666669,7.855157005881344,2.0,0,0,5156,early_career,medium_term,medium_high_amount,0,0.020014862073576,0,2578,23.219241491555564,1,0.0821881535529885,0,0.156549722403277,0.0078265847027,,,,low_risk,medium_high_exposure,0,0,0,0.020014862073576,0.45,2578.0,23.21924149155552,0.0090066879331092,0.023017091384612397,0.5,2578.0,29.66903079476538,0.011508545692306199,0.0260193206956488,0.55,2655.34,37.99957865879125,0.01431062638260684,0.0310230362140428,0.65,2706.9,54.5845668730651,0.02016497353912782
320,A12,30,A34,A40,4249,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,141.63333333333333,8.354674261918463,2.5,0,1,16996,early_career,long_term,high_amount,1,0.7879635839147752,1,4249,1506.625770624246,0,0.2034767862461514,0,0.3898677010469615,0.0170858714453414,,,,high_risk,high_exposure,1,0,0,0.7879635839147752,0.45,4249.0,1506.625770624246,0.35458361276164885,0.9361581215019914,0.5,4249.0,1988.8679291309807,0.4680790607509957,1.0,0.55,4376.47,2407.0585000000005,0.55,1.0,0.65,4461.45,2899.9425,0.65
211,A14,36,A32,A43,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,106.52777777777776,8.252185436003328,3.0,1,0,7670,mid_career,long_term,medium_high_amount,0,0.0600311555915148,1,3835,103.59876676205668,0,0.2414362249797642,0,0.4444523962801527,0.0384200536793757,,,,low_risk,medium_high_exposure,0,0,0,0.0600311555915148,0.45,3835.0,103.59876676205667,0.02701402001618166,0.07903582893024201,0.5,3835.0,151.55120197373907,0.039517914465121005,0.10804050226896923,0.55,3950.05,234.72096229314806,0.05942227624793308,0.14304829116684795,0.65,4026.75,374.4128091964683,0.09298138925845117
782,A12,12,A30,A48,1410,A61,A73,2,A93,A101,2,A121,31,A143,A152,1,A172,1,A192,A201,117.5,7.252053951852814,1.0,0,0,2820,early_career,short_term,medium_low_amount,0,0.2426257068721259,0,1410,153.94601101036392,1,0.1592551136890717,0,0.2999967735783901,0.0185134537997532,,,,moderate_risk,medium_low_exposure,0,0,0,0.2426257068721259,0.45,1410.0,153.9460110103639,0.10918156809245666,0.2790195629029448,0.5,1410.0,196.70879184657608,0.1395097814514724,0.3154134189337637,0.55,1452.3,251.94119957462775,0.17347738041357003,0.37606984565179513,0.65,1480.5,361.90141421686377,0.24444539967366685
367,A11,18,A32,A42,3650,A61,A72,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,202.77777777777777,8.202756381655638,1.5,0,0,3650,young,medium_term,medium_high_amount,0,0.7950790567903572,0,3650,1305.9173507781618,1,0.0961010770207227,0,0.1812876581909803,0.0109144958504651,,,,high_risk,medium_high_exposure,0,0,0,0.7950790567903572,0.45,3650.0,1305.9173507781618,0.35778557555566076,0.9343409153089107,0.5,3650.0,1705.1721704387621,0.46717045765445536,1.0,0.55,3759.5,2067.7250000000004,0.55,1.0,0.65,3832.5,2491.125,0.65
970,A12,15,A32,A45,1514,A62,A73,4,A93,A103,2,A121,22,A143,A152,1,A173,1,A191,A201,100.93333333333334,7.323170717943469,1.25,0,0,6056,young,medium_term,medium_low_amount,0,0.4492777927082715,0,1514,306.0929601721454,1,0.1928205157449535,0,0.3688444705931798,0.0167965608967273,,,,elevated_risk,medium_low_exposure,0,0,0,0.4492777927082715,0.45,1514.0,306.0929601721454,0.2021750067187222,0.5366694616145122,0.5,1514.0,406.25878244218575,0.2683347308072561,0.634061130520753,0.55,1559.42,543.8221844861699,0.3487336217864141,0.7763805786978208,0.65,1589.7,802.2379338713519,0.5046473761535836
896,A11,21,A32,A43,2606,A61,A72,4,A92,A101,4,A122,28,A143,A151,1,A174,1,A192,A201,124.0952380952381,7.865955413933502,1.75,0,0,10424,early_career,medium_term,medium_high_amount,0,0.6887558111567303,0,2606,807.7039397434977,1,0.1150720891155595,0,0.2188692887826849,0.011274889448434,,,,high_risk,medium_high_exposure,0,0,0,0.6887558111567303,0.45,2606.0,807.7039397434977,0.30994011502052865,0.8120691828302399,0.5,2606.0,1058.1261452278025,0.4060345914151199,0.9453825545037495,0.55,2684.1800000000003,1395.6673198313313,0.5199604049770623,1.0,0.65,2736.3,1778.5950000000003,0.65
930,A11,24,A32,A42,1747,A61,A72,4,A93,A102,1,A122,24,A143,A152,1,A172,1,A191,A202,72.79166666666667,7.466227556215481,2.0,0,0,6988,young,medium_term,medium_low_amount,0,0.7293299854819557,0,1747,573.3627680866394,1,0.2733892593912256,0,0.5055983669072381,0.0411801518752131,,,,high_risk,medium_low_exposure,0,0,0,0.7293299854819557,0.45,1747.0,573.3627680866394,0.32819849346688007,0.858729483304249,0.5,1747.0,750.1002036662616,0.4293647416521245,0.9981289811265425,0.55,1799.41,987.8237984609017,0.5489709396195984,1.0,0.65,1834.3500000000001,1192.3275,0.65
251,A13,12,A32,A42,2251,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,187.58333333333337,7.719573989259581,1.0,0,0,2251,mid_career,short_term,medium_low_amount,0,0.3306001426990389,0,2251,334.8814145469915,1,0.1395784129272406,0,0.2558575983313218,0.0232992275231594,,,,moderate_risk,medium_low_exposure,0,0,0,0.3306001426990389,0.45,2251.0,334.8814145469915,0.1487700642145675,0.3801901641038947,0.5,2251.0,427.9040296989335,0.19009508205194736,0.42978018550875063,0.55,2318.53,548.0520394291821,0.23637910202981285,0.5124302211835103,0.65,2363.55,787.2503920308859,0.33307964376928173
390,A14,18,A32,A40,1820,A61,A73,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,101.11111111111111,7.507141079727608,1.5,0,0,3640,early_career,medium_term,medium_low_amount,0,0.2409885374358458,0,1820,197.3696121599577,1,0.1114674403956287,0,0.2092521842338268,0.0136826965574307,,,,moderate_risk,medium_low_exposure,0,0,0,0.2409885374358458,0.45,1820.0,197.3696121599577,0.10844484184613061,0.27713681805122264,0.5,1820.0,252.1945044266126,0.13856840902561132,0.31328509866659954,0.55,1874.6000000000001,323.0063352782242,0.17230680426662975,0.373532233025561,0.65,1911.0,463.98306325270056,0.24279595146661462
741,A12,10,A31,A43,1048,A61,A73,4,A93,A101,4,A121,23,A142,A152,1,A172,1,A191,A201,104.8,6.955592608396297,0.8333333333333334,0,0,4192,young,short_term,low_amount,0,0.5536750394595263,0,1048,261.1131486091126,1,0.1722444629679957,0,0.3240419641321784,0.020446961803813,,,,elevated_risk,low_exposure,0,0,0,0.5536750394595263,0.45,1048.0,261.1131486091126,0.24915376775678685,0.6567262953784553,0.5,1048.0,344.1245787783106,0.32836314768922764,0.7697775512973843,0.55,1079.44,457.01077398484676,0.4233776532135614,0.9381963111622658,0.65,1100.4,671.0542935219222,0.6098276022554727
552,A11,48,A32,A43,6999,A61,A74,1,A94,A103,1,A121,34,A143,A152,2,A173,1,A192,A201,145.8125,8.85366542803745,4.0,1,1,6999,early_career,very_long_term,high_amount,1,0.4790049332704028,1,6999,1508.6499875817972,0,0.300997832458828,0,0.579343831702692,0.022651833214964,,,,elevated_risk,high_exposure,0,0,0,0.4790049332704028,0.45,6999.0,1508.6499875817972,0.21555221997168125,0.5808556732609632,0.5,6999.0,2032.7044285767408,0.2904278366304816,0.7027064132515237,0.55,7208.97,2786.1841985658107,0.3864885272883381,0.8724576465691243,0.65,7348.950000000001,4167.570954140208,0.5670974702699308
287,A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,157.95833333333334,8.933664178700935,4.0,1,1,15164,early_career,very_long_term,high_amount,0,0.5206931466926337,1,7582,1776.552947200597,0,0.3212022794979544,0,0.6324511623155776,0.0099533966803311,,,,elevated_risk,high_exposure,0,0,0,0.5206931466926337,0.45,7582.0,1776.552947200597,0.23431191601168516,0.6287971186965287,0.5,7582.0,2383.76987697854,0.31439855934826433,0.7569010907004239,0.55,7809.46,3251.043835479733,0.4162955998852332,0.9370743773735822,0.65,7961.1,4849.092836710737,0.6090983452928285
652,A11,24,A32,A40,2303,A61,A75,4,A93,A102,1,A121,45,A143,A152,1,A173,1,A191,A201,95.95833333333331,7.742402021815782,2.0,0,0,9212,mid_career,medium_term,medium_low_amount,1,0.8371587259546814,0,2303,867.5894456431341,1,0.186421170069408,0,0.3427859160303148,0.0300564241085011,,,,high_risk,medium_low_exposure,0,0,0,0.8371587259546814,0.45,2303.0,867.5894456431341,0.3767214266796067,0.9827325348478836,0.5,2303.0,1131.6165138773379,0.49136626742394174,1.0,0.55,2372.09,1304.6495000000002,0.55,1.0,0.65,2418.15,1571.7975000000001,0.65
906,A11,21,A32,A40,3763,A65,A74,2,A93,A102,2,A121,24,A143,A152,1,A172,1,A191,A202,179.1904761904762,8.23323750070527,1.75,0,0,7526,young,medium_term,medium_high_amount,0,0.1436470557618218,0,3763,243.24474187428103,1,0.3003389252482555,0,0.5516052529286098,0.0490725975679012,,,,low_risk,medium_high_exposure,0,0,0,0.1436470557618218,0.45,3763.0,243.24474187428098,0.06464117509281982,0.16519411412609505,0.5,3763.0,310.81272572824787,0.08259705706304753,0.18674117249036834,0.55,3875.8900000000003,398.08353367403157,0.10270764486970257,0.2226529364308238,0.65,3951.15,571.8278473561222,0.14472440868003547
904,A14,24,A32,A43,1278,A61,A75,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,53.25,7.153833801578843,2.0,0,0,5112,mid_career,medium_term,low_amount,0,0.1986546003052057,0,1278,114.24626063552384,1,0.0975454251314067,0,0.1784961063111276,0.0165947439516859,,,,low_risk,low_exposure,0,0,0,0.1986546003052057,0.45,1278.0,114.24626063552381,0.08939457013734257,0.22845279035098653,0.5,1278.0,145.9813330342804,0.11422639517549327,0.2582509803967674,0.55,1316.3400000000001,186.97035254451447,0.14203803921822208,0.3079146304730689,0.65,1341.9,268.5739177106773,0.2001445098074948
151,A14,10,A32,A43,1924,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,192.4,7.562681246721884,0.8333333333333334,0,0,1924,mid_career,short_term,medium_low_amount,0,0.007916961823841,0,1924,6.854505547081588,1,0.127187548385305,0,0.2283787746870939,0.0259963220835162,,,,low_risk,medium_low_exposure,0,0,0,0.007916961823841,0.45,1924.0,6.854505547081539,0.0035626328207284505,0.00910450609741715,0.5,1924.0,8.7585348657153,0.004552253048708575,0.0102920503709933,0.55,1981.72,11.217779133662665,0.005660627704046316,0.012271290826953551,0.65,2020.2,16.113800123597517,0.00797633903751981
834,A13,15,A32,A43,2327,A61,A72,2,A92,A101,3,A121,25,A143,A152,1,A172,1,A191,A201,155.13333333333333,7.752764808851328,1.25,0,0,4654,young,medium_term,medium_high_amount,1,0.3788630546311772,0,2327,396.7264476570373,1,0.1128856659312385,0,0.2167546029795029,0.0090167288829742,,,,moderate_risk,medium_high_exposure,0,0,0,0.3788630546311772,0.45,2327.0,396.7264476570372,0.17048837458402974,0.43569251282585375,0.5,2327.0,506.92823867288087,0.21784625641292688,0.49252197102053036,0.55,2396.81,649.2648719489446,0.2708870840612917,0.5872377346783246,0.65,2443.35,932.6377573670849,0.381704527540911
777,A11,18,A32,A43,3509,A61,A74,4,A92,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,194.94444444444449,8.163371316459912,1.5,0,0,14036,young,medium_term,medium_high_amount,0,0.4719493095495993,0,3509,745.2315572442948,1,0.1729731647828076,0,0.320013259404191,0.0259330701614242,,,,elevated_risk,medium_high_exposure,0,0,0,0.4719493095495993,0.45,3509.0,745.2315572442948,0.2123771892973197,0.5627417059820392,0.5,3509.0,987.3303231454878,0.2813708529910196,0.6635341024144792,0.55,3614.27,1319.005270183469,0.3649437563279636,0.8115214298018789,0.65,3684.4500000000003,1943.5065858217963,0.5274889293712213
359,A11,30,A32,A42,2406,A61,A74,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,80.2,7.786136437783072,2.5,0,0,9624,young,long_term,medium_high_amount,1,0.7271015574467524,0,2406,787.2328562475989,1,0.1281196985852648,0,0.2392863805488563,0.0169530166216732,,,,high_risk,medium_high_exposure,0,0,0,0.7271015574467524,0.45,2406.0,787.2328562475989,0.3271957008510386,0.8561667910637653,0.5,2406.0,1029.9686496497095,0.42808339553188257,0.9952320246807782,0.55,2478.1800000000003,1356.5002544078764,0.547377613574428,1.0,0.65,2526.3,1642.0950000000003,0.65
576,A12,12,A32,A43,2930,A61,A74,2,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,244.16666666666663,7.983098940710892,1.0,0,0,5860,early_career,short_term,medium_high_amount,0,0.1418145349881916,0,2930,186.9824643819307,1,0.054847686692049,0,0.0978686593376554,0.0118267140464427,,,,low_risk,medium_high_exposure,0,0,0,0.1418145349881916,0.45,2930.0,186.9824643819306,0.06381654074468622,0.16308671523642032,0.5,2930.0,238.92203782135576,0.08154335761821016,0.1843588954846491,0.55,3017.9,306.0071908757174,0.10139739251655701,0.219812529231697,0.65,3076.5,439.56461001785533,0.14287814400060306
770,A11,24,A32,A41,2812,A65,A75,2,A92,A101,4,A121,26,A143,A151,1,A173,1,A191,A201,117.16666666666669,7.942006808489856,2.0,0,0,5624,early_career,medium_term,medium_high_amount,0,0.2182146361708157,0,2812,276.12880061055023,1,0.1298055481383332,0,0.2483891293203481,0.0112219669563182,,,,moderate_risk,medium_high_exposure,0,0,0,0.2182146361708157,0.45,2812.0,276.12880061055023,0.09819658627686707,0.25094683159643805,0.5,2812.0,352.8312452245919,0.12547341579821902,0.28367902702206044,0.55,2896.36,451.9001226880883,0.15602346486213325,0.33823268606476437,0.65,2952.6,649.1327887686351,0.21985124594209685
389,A14,9,A32,A49,1449,A61,A74,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,161.0,7.27931883541462,0.75,0,0,4347,early_career,short_term,medium_low_amount,0,0.11271116845812,0,1449,73.49331739311718,1,0.0728846162514908,0,0.1379260994242654,0.0078431330787162,,,,low_risk,medium_low_exposure,0,0,0,0.11271116845812,0.45,1449.0,73.49331739311715,0.05072002580615401,0.129617843726838,0.5,1449.0,93.90812778009412,0.064808921863419,0.14652451899555602,0.55,1492.47,120.27589687591363,0.08058848544755581,0.174702311110086,0.65,1521.45,172.77054030498624,0.1135565022215559
942,A14,24,A32,A42,929,A65,A74,4,A93,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,38.708333333333336,6.835184586147301,2.0,0,0,3716,early_career,medium_term,low_amount,0,0.1855439236730405,0,929,77.56663729151461,1,0.1495970276321414,0,0.2783330346033807,0.020861020660902,,,,low_risk,low_exposure,0,0,0,0.1855439236730405,0.45,929.0,77.56663729151458,0.08349476565286823,0.21337551222399656,0.5,929.0,99.1129254280464,0.10668775611199827,0.24120710077495267,0.55,956.87,126.94211118519094,0.13266390542622397,0.2875930816932128,0.65,975.45,182.3462364994689,0.18693550310058832
