,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,local_log_odds,local_pd,top_positive_contributors,top_negative_contributors,risk_cluster,expected_loss_proxy,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled
917,A11,6,A32,A40,14896,A61,A75,1,A93,A101,4,A124,68,A141,A152,1,A174,1,A192,A201,2482.6666666666665,9.608915129379591,0.5,0,1,14896,senior,short_term,high_amount,1,0.9984588809662728,6.4737041733788105,0.9984588809662728,credit_amount_per_month (5.698); checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); property_A124 (0.624); savings_account_A61 (0.577),credit_amount (-0.943); personal_status_sex_A93 (-0.467); duration_years (-0.435); duration_months (-0.435); installment_rate_pct_income (-0.329),1,6692.869570893119,0.8795464993119582,1,0.7590929986239163,1.0
236,A12,6,A32,A40,14555,A65,A71,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,2425.8333333333335,9.585758558732053,0.5,0,1,14555,young,short_term,high_amount,1,0.9573406023637675,3.1109116416330953,0.9573406023637675,credit_amount_per_month (5.559); foreign_worker_A201 (0.651); credit_amount_log (0.485); age_bucket_young (0.459); purpose_A40 (0.443),credit_amount (-0.916); personal_status_sex_A93 (-0.467); duration_years (-0.435); duration_months (-0.435); other_installment_plans_A143 (-0.428),1,6270.341610332086,0.8353137290819848,1,0.712455428953143,0.9581720292108264
915,A12,48,A30,A410,18424,A61,A73,1,A92,A101,2,A122,32,A141,A152,1,A174,1,A192,A202,383.8333333333333,9.821463717057537,4.0,1,1,18424,early_career,very_long_term,high_amount,1,0.6485418286705978,0.612635798640734,0.6485418286705978,duration_years (0.802); duration_months (0.802); credit_history_A30 (0.693); savings_account_A61 (0.577); credit_amount_log (0.548),credit_amount (-1.228); foreign_worker_A202 (-0.667); duration_bucket_very_long_term (-0.610); purpose_A410 (-0.527); installment_rate_pct_income (-0.329),1,5376.930593142192,0.4656113813907517,1,0.8425144092184023,0.0887083535631013
818,A11,36,A32,A410,15857,A61,A71,2,A91,A102,3,A123,43,A143,A152,1,A174,1,A191,A201,440.47222222222223,9.671429383832344,3.0,1,1,31714,mid_career,long_term,high_amount,0,0.956704372959367,3.095442795776868,0.956704372959367,installment_burden_proxy (0.841); checking_account_status_A11 (0.698); credit_amount_per_month (0.683); foreign_worker_A201 (0.651); savings_account_A61 (0.577),credit_amount (-1.021); purpose_A410 (-0.527); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); installment_rate_pct_income (-0.159),1,6826.7075589075075,0.4430918183433711,1,0.8244930396202719,0.0616905970664703
373,A14,60,A34,A40,13756,A65,A75,2,A93,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,229.26666666666668,9.529303064460995,5.0,1,1,27512,senior,very_long_term,high_amount,0,0.5598974383760905,0.24074582684920554,0.5598974383760904,duration_years (1.155); duration_months (1.155); installment_burden_proxy (0.688); foreign_worker_A201 (0.651); property_A124 (0.624),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); credit_amount (-0.852); duration_bucket_very_long_term (-0.610); housing_A153 (-0.497),1,3465.8771230356756,0.4289780516755308,1,0.802294078357795,0.0556620249932667
921,A14,48,A33,A43,12749,A63,A74,4,A93,A101,1,A123,37,A143,A152,1,A174,1,A192,A201,265.6041666666667,9.453286550586572,4.0,1,1,50996,mid_career,very_long_term,high_amount,0,0.3386429876366913,-0.6693473848902511,0.33864298763669126,installment_burden_proxy (1.544); duration_years (0.802); duration_months (0.802); foreign_worker_A201 (0.651); credit_amount_log (0.449),checking_account_status_A14 (-0.992); credit_amount (-0.770); duration_bucket_very_long_term (-0.610); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467),1,1942.81175222108,0.3734319297147287,1,0.6840842227032853,0.0627796367261721
804,A12,12,A32,A40,7472,A65,A71,1,A92,A101,2,A121,24,A143,A151,1,A171,1,A191,A201,622.6666666666666,8.91905180393029,1.0,0,1,7472,young,short_term,high_amount,0,0.5836106045042022,0.3376131180194458,0.5836106045042021,credit_amount_per_month (1.130); foreign_worker_A201 (0.651); housing_A151 (0.488); age_bucket_young (0.459); purpose_A40 (0.443),other_installment_plans_A143 (-0.428); savings_account_A65 (-0.409); property_A121 (-0.358); credit_amount (-0.345); installment_rate_pct_income (-0.329),1,1962.3322965849295,0.3627094176712977,1,0.6376294243307558,0.0877894110118397
375,A11,48,A31,A49,7685,A61,A74,2,A92,A103,4,A123,37,A143,A151,1,A173,1,A191,A201,160.10416666666666,8.94715577112479,4.0,1,1,15370,mid_career,very_long_term,high_amount,1,0.774421217350893,1.23344646736582,0.774421217350893,duration_years (0.802); duration_months (0.802); checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577),duration_bucket_very_long_term (-0.610); employment_since_A74 (-0.557); other_debtors_guarantors_A103 (-0.430); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409),1,2678.142174903726,0.3499216332996412,1,0.6905472685046324,0.00929599809465
263,A14,12,A34,A46,2748,A61,A75,2,A92,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,229.0,7.918992488165245,1.0,0,0,5496,senior,short_term,medium_high_amount,0,0.42223116184952675,-0.313620913726099,0.42223116184952675,purpose_A46 (0.982); foreign_worker_A201 (0.651); property_A124 (0.624); savings_account_A61 (0.577); other_installment_plans_A141 (0.525),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); housing_A153 (-0.497); duration_years (-0.258),0,522.1310547431248,0.3480263946312455,1,0.6308498434440301,0.065202945818461
78,A14,54,A30,A41,9436,A65,A73,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,174.74074074074073,9.152393412021333,4.5,1,1,18872,mid_career,very_long_term,high_amount,0,0.25867485823243797,-1.0528674174292934,0.25867485823243797,duration_years (0.978); duration_months (0.978); credit_history_A30 (0.693); foreign_worker_A201 (0.651); installment_burden_proxy (0.372),checking_account_status_A14 (-0.992); purpose_A41 (-0.919); duration_bucket_very_long_term (-0.610); credit_amount (-0.503); personal_status_sex_A93 (-0.467),1,1098.385183026578,0.343881906821852,0,0.6602983328210439,0.0274654808226602
801,A12,18,A34,A43,1795,A61,A75,3,A92,A103,4,A121,48,A141,A151,2,A172,1,A192,A201,99.72222222222224,7.493317248862145,1.5,0,0,5385,mid_career,medium_term,medium_low_amount,0,0.43785840000738446,-0.24985820498666633,0.43785840000738446,foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_installment_plans_A141 (0.525); housing_A151 (0.488); duration_bucket_medium_term (0.463),credit_history_A34 (-0.877); other_debtors_guarantors_A103 (-0.430); age_bucket_mid_career (-0.409); property_A121 (-0.358); purpose_A43 (-0.251),0,353.6801226059648,0.341208291476842,0,0.6400109057245758,0.0424056772291083
