,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,local_log_odds,local_pd,top_positive_contributors,top_negative_contributors,risk_cluster,expected_loss_proxy,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled
772,A14,21,A34,A41,3275,A61,A75,1,A93,A101,4,A123,36,A143,A152,1,A174,1,A192,A201,155.95238095238096,8.09437844497296,1.75,0,0,3275,mid_career,medium_term,medium_high_amount,0,0.008805077931571946,-4.723582614547146,0.008805077931571946,foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_bucket_medium_term (0.463); credit_amount_log (0.086); high_credit_amount_flag (0.029),checking_account_status_A14 (-0.992); purpose_A41 (-0.919); credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467),0,12.976483601654158,0.1287696747264346,0,0.2368735190442222,0.020665830408647
506,A13,15,A34,A41,2360,A63,A73,2,A93,A101,2,A123,36,A143,A152,1,A173,1,A192,A201,157.33333333333334,7.766840537085513,1.25,0,0,4720,mid_career,medium_term,medium_high_amount,0,0.017362809171525724,-4.035909453649198,0.017362809171525724,foreign_worker_A201 (0.651); duration_bucket_medium_term (0.463); savings_account_A63 (0.170); job_A173 (0.130); credit_amount (0.067),purpose_A41 (-0.919); credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428),0,18.43930334016032,0.1587786243703902,0,0.2997383253246048,0.0178189234161755
159,A14,6,A34,A43,1898,A65,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,316.3333333333333,7.549082710812286,0.5,0,0,1898,early_career,short_term,medium_low_amount,0,0.018304186346208177,-3.982151702531743,0.01830418634620817,foreign_worker_A201 (0.651); credit_amount_per_month (0.378); people_liable (0.308); job_A172 (0.166); telephone_A191 (0.166),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); duration_years (-0.435); duration_months (-0.435),0,15.633605558296404,0.1515168831329054,0,0.2828605378269437,0.020173228438867
856,A14,10,A32,A48,894,A65,A74,4,A92,A101,3,A122,40,A143,A152,1,A173,1,A192,A201,89.4,6.796823718274855,0.8333333333333334,0,0,3576,mid_career,short_term,low_amount,0,0.028658401683932286,-3.5232315542915935,0.0286584016839323,credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); credit_amount (0.185); installment_rate_pct_income (0.179); job_A173 (0.130),checking_account_status_A14 (-0.992); employment_since_A74 (-0.557); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); savings_account_A65 (-0.409),0,11.52927499744596,0.1345853969876397,0,0.2547110531017532,0.0144597408735263
115,A14,48,A34,A43,3578,A65,A75,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,74.54166666666667,8.182838710766026,4.0,1,0,14312,mid_career,very_long_term,medium_high_amount,0,0.029991318396204787,-3.4763970685758383,0.029991318396204787,duration_years (0.802); duration_months (0.802); foreign_worker_A201 (0.651); installment_burden_proxy (0.206); age_years (0.190),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); credit_amount_bucket_medium_high_amount (-0.749); duration_bucket_very_long_term (-0.610); personal_status_sex_A93 (-0.467),1,48.28902174972933,0.213714732415462,0,0.3921854841597426,0.0352439806711815
234,A14,4,A34,A43,1544,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,386.0,7.342779189331845,0.3333333333333333,0,0,3088,mid_career,short_term,medium_low_amount,0,0.030773804283999034,-3.4498341989304873,0.030773804283999062,foreign_worker_A201 (0.651); savings_account_A61 (0.577); credit_amount_per_month (0.549); people_liable (0.308); existing_credits (0.274),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); employment_since_A74 (-0.557); duration_years (-0.494); duration_months (-0.494),0,21.38163921652253,0.187222077171946,0,0.3197498988086017,0.0546942555352904
933,A14,12,A34,A43,522,A63,A75,4,A93,A101,4,A122,42,A143,A152,2,A173,2,A192,A201,43.5,6.259581464064923,1.0,0,0,2088,mid_career,short_term,low_amount,0,0.03391203595069357,-3.3494848959923025,0.03391203595069356,credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); people_liable (0.308); credit_amount (0.215); installment_rate_pct_income (0.179),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409),0,7.96593724481792,0.1545836807238251,0,0.2817424167155372,0.027424944732113
715,A14,30,A34,A41,7596,A65,A75,1,A93,A101,4,A123,63,A143,A152,2,A173,1,A191,A201,253.2,8.935508711503221,2.5,0,1,7596,senior,long_term,high_amount,0,0.034765859049607384,-3.3237348615861158,0.03476585904960737,foreign_worker_A201 (0.651); age_years (0.451); credit_amount_log (0.311); duration_years (0.272); duration_months (0.272),checking_account_status_A14 (-0.992); purpose_A41 (-0.919); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428),1,118.83665940336796,0.198079068542222,0,0.3632712001511168,0.0328869369333271
681,A14,12,A32,A43,2279,A65,A73,4,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,189.91666666666663,7.731930721948486,1.0,0,0,9116,mid_career,short_term,medium_low_amount,0,0.03619094558074639,-3.282084233195111,0.036190945580746404,foreign_worker_A201 (0.651); property_A124 (0.624); installment_rate_pct_income (0.179); job_A173 (0.130); credit_amount (0.073),checking_account_status_A14 (-0.992); housing_A153 (-0.497); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409),0,37.11562424033446,0.129074054723202,0,0.2444210533950496,0.0137270560513543
85,A14,12,A34,A49,1412,A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,117.66666666666669,7.253470382684528,1.0,0,0,5648,early_career,short_term,medium_low_amount,0,0.03657612528324679,-3.271097762724903,0.03657612528324682,foreign_worker_A201 (0.651); savings_account_A61 (0.577); installment_rate_pct_income (0.179); credit_amount (0.143); age_bucket_early_career (0.121),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); other_debtors_guarantors_A103 (-0.430); other_installment_plans_A143 (-0.428); property_A121 (-0.358),0,23.24047000497501,0.2295931010929608,0,0.4382887574930317,0.02089744469289
742,A14,21,A32,A43,3160,A65,A75,4,A93,A101,3,A122,41,A143,A152,1,A173,1,A192,A201,150.47619047619048,8.058643712215618,1.75,0,0,12640,mid_career,medium_term,medium_high_amount,0,0.03971432137100025,-3.1855189596325153,0.039714321371000234,foreign_worker_A201 (0.651); duration_bucket_medium_term (0.463); installment_rate_pct_income (0.179); installment_burden_proxy (0.145); job_A173 (0.130),checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409),0,56.473764989562355,0.0456973803194971,0,0.0842027607720489,0.0071919998669454
